account_id,ym,ending_balance
A000001,2025-02,3043.95
A000001,2025-03,5796.5
A000001,2025-04,5521.79
A000001,2025-05,5210.11
A000001,2025-06,6110.28
A000001,2025-07,7809.12
A000001,2025-08,10319.95
A000001,2025-09,9667.66
A000001,2025-10,9616.38
A000002,2025-01,-10.91
A000002,2025-02,-74.76
A000002,2025-04,-87.66
A000002,2025-05,-85.7
A000002,2025-06,-513.83
A000002,2025-08,-568.71
A000003,2025-02,-725.21
A000003,2025-03,-981.05
A000003,2025-04,-1365.74
A000003,2025-05,22.07
A000003,2025-06,-367.76
A000003,2025-07,1327.48
A000003,2025-08,1077.95
A000003,2025-09,609.29
A000003,2025-10,2494.11
A000004,2024-06,-20.82
A000004,2025-03,0.63
A000004,2025-04,-194.57
A000004,2025-07,2184.52
A000004,2025-08,3489.71
A000005,2025-02,-187.82
A000005,2025-03,1980.91
A000005,2025-04,3662.36
A000005,2025-05,3021.48
A000005,2025-06,2031.62
A000005,2025-07,1026.39
A000005,2025-08,-161.35
A000005,2025-09,2494.73
A000005,2025-10,1998.92
A000006,2025-01,-103.03
A000006,2025-02,-263.54
A000006,2025-03,-964.31
A000006,2025-04,-1029.46
A000006,2025-05,-1287.31
A000006,2025-06,301.0
A000006,2025-07,212.39
A000006,2025-08,26.72
A000006,2025-09,-59.23
A000007,2024-11,-703.65
A000007,2024-12,-975.83
A000007,2025-01,-1698.22
A000007,2025-02,-1980.8
A000007,2025-03,217.68
A000007,2025-04,-20.84
A000007,2025-05,1533.06
A000007,2025-06,1249.32
A000007,2025-07,1025.91
A000007,2025-08,827.42
A000007,2025-09,536.69
A000007,2025-10,312.89
A000008,2022-05,-71.12
A000008,2022-06,-86.12
A000008,2022-07,1460.27
A000008,2022-09,1359.54
A000008,2022-10,1278.77
A000008,2022-11,1020.19
A000008,2022-12,1005.67
A000008,2023-02,253.39
A000008,2023-03,-148.62
A000008,2023-05,2770.82
A000008,2023-06,2681.54
A000008,2023-07,2639.06
A000008,2023-08,2634.06
A000008,2023-09,2614.33
A000008,2023-10,2590.48
A000008,2023-11,2598.49
A000008,2024-01,2520.58
A000008,2024-03,2418.52
A000008,2024-04,2291.16
A000008,2024-05,2210.26
A000008,2024-08,2176.01
A000008,2024-09,2070.04
A000008,2024-10,1984.37
A000008,2024-11,3758.08
A000008,2025-02,3676.71
A000008,2025-03,3611.92
A000008,2025-04,3534.27
A000008,2025-06,5881.27
A000008,2025-07,5816.52
A000008,2025-08,5793.26
A000008,2025-09,5778.61
A000008,2025-10,5717.04
A000009,2023-04,2137.37
A000009,2023-07,2094.89
A000009,2023-12,2046.45
A000009,2025-07,3272.74
A000009,2025-09,3231.9
A000010,2023-04,-73.66
A000010,2023-05,-65.31
A000010,2023-06,1999.37
A000010,2023-07,1880.58
A000010,2023-08,1649.83
A000010,2023-10,1575.89
A000010,2023-11,816.17
A000010,2023-12,3996.15
A000010,2024-01,5742.49
A000010,2024-02,5422.32
A000010,2024-03,7617.67
A000010,2024-04,7822.14
A000010,2024-05,7453.54
A000010,2024-06,7403.97
A000010,2024-07,6724.33
A000010,2024-09,6559.94
A000010,2024-11,6195.95
A000010,2024-12,7435.83
A000010,2025-01,7381.97
A000010,2025-04,8231.26
A000010,2025-05,7771.27
A000010,2025-06,9593.91
A000010,2025-07,9457.61
A000010,2025-08,9429.53
A000010,2025-09,9396.47
A000011,2023-05,-82.35
A000011,2023-07,-127.32
A000011,2023-12,2817.34
A000012,2022-09,-45.51
A000012,2023-01,-200.09
A000012,2023-10,737.36
A000012,2023-11,622.0
A000012,2024-07,496.05
A000012,2024-08,479.93
A000012,2024-10,419.92
A000012,2024-12,396.08
A000013,2025-02,-97.31
A000013,2025-03,-164.61
A000013,2025-04,-183.66
A000013,2025-06,-357.3
A000013,2025-08,-426.56
A000013,2025-10,-631.78
A000014,2025-01,-172.48
A000014,2025-02,5315.82
A000014,2025-03,8993.58
A000014,2025-04,8138.15
A000014,2025-05,7484.4
A000014,2025-06,9126.39
A000014,2025-07,12350.18
A000014,2025-08,12926.57
A000014,2025-09,11625.96
A000014,2025-10,11528.9
A000015,2024-06,10.97
A000015,2024-07,-118.82
A000015,2024-08,-222.4
A000015,2024-09,-288.74
A000015,2024-10,-340.34
A000015,2024-11,-507.17
A000015,2024-12,-80.37
A000015,2025-01,1928.1
A000015,2025-03,1716.3
A000015,2025-04,2975.01
A000015,2025-05,2595.61
A000015,2025-07,2341.29
A000015,2025-08,2294.45
A000015,2025-09,2136.88
A000016,2022-11,-439.34
A000016,2023-01,-449.34
A000016,2023-10,-454.34
A000017,2024-07,-168.68
A000017,2024-10,-238.22
A000018,2023-01,-45.88
A000018,2023-02,-266.37
A000018,2023-04,-240.29
A000018,2023-05,1370.58
A000018,2023-06,1264.96
A000018,2023-08,1026.55
A000018,2023-09,3087.43
A000018,2023-10,2794.87
A000018,2023-11,2714.46
A000018,2023-12,2079.12
A000018,2024-01,1960.64
A000018,2024-04,1667.99
A000018,2024-05,1365.91
A000018,2024-06,1375.24
A000018,2024-07,1358.11
A000018,2024-09,973.85
A000018,2024-10,992.0
A000018,2024-11,1084.32
A000018,2025-01,806.67
A000018,2025-02,719.5
A000018,2025-03,646.51
A000018,2025-04,113.05
A000018,2025-05,2347.64
A000018,2025-06,2530.01
A000018,2025-07,2503.82
A000018,2025-08,2488.82
A000018,2025-09,2473.52
A000018,2025-10,1891.19
A000019,2024-06,-36.8
A000019,2024-07,-134.16
A000019,2024-10,-287.67
A000019,2024-11,-159.88
A000019,2025-05,-270.22
A000020,2023-03,142.97
A000020,2023-05,65.6
A000020,2023-06,-177.28
A000020,2023-07,-569.44
A000020,2023-08,2195.19
A000020,2023-09,2014.59
A000020,2023-10,1960.29
A000020,2023-12,1765.92
A000020,2024-01,1707.78
A000020,2024-02,1702.78
A000020,2024-03,1697.78
A000020,2024-05,1730.7
A000020,2024-06,1497.98
A000020,2024-07,1393.52
A000020,2024-08,1346.78
A000020,2024-10,1026.61
A000020,2024-12,933.54
A000020,2025-01,830.13
A000020,2025-02,2657.58
A000020,2025-04,2573.35
A000020,2025-05,3862.22
A000020,2025-06,3830.92
A000020,2025-08,7963.32
A000020,2025-09,7020.57
A000021,2023-03,1595.33
A000021,2023-04,1554.94
A000021,2023-06,1492.64
A000021,2023-08,1477.64
A000021,2023-10,1289.39
A000021,2023-12,1211.72
A000021,2024-01,1133.89
A000021,2024-02,1086.24
A000021,2024-03,1063.24
A000021,2024-05,1029.39
A000021,2024-06,1824.2
A000021,2024-07,1810.24
A000021,2024-08,1636.84
A000021,2024-09,992.43
A000021,2025-01,927.49
A000021,2025-02,899.22
A000021,2025-03,309.85
A000021,2025-07,284.85
A000021,2025-08,2100.31
A000021,2025-09,1952.44
A000022,2024-08,-55.39
A000022,2024-09,-182.3
A000022,2024-10,-720.55
A000022,2024-11,-974.97
A000022,2024-12,-1612.95
A000022,2025-01,-1695.02
A000022,2025-02,-1759.66
A000022,2025-03,803.58
A000022,2025-04,2826.91
A000022,2025-05,2510.28
A000022,2025-06,2340.36
A000022,2025-07,2067.36
A000022,2025-08,2009.59
A000022,2025-09,1837.06
A000022,2025-10,2100.07
A000023,2022-10,-60.69
A000023,2022-11,-255.67
A000023,2022-12,-738.51
A000023,2023-02,-977.64
A000023,2023-03,-971.83
A000023,2023-04,-1114.11
A000023,2023-05,1086.48
A000023,2023-06,966.58
A000023,2023-07,957.98
A000023,2023-08,914.43
A000023,2023-09,788.8
A000023,2023-10,763.0
A000023,2023-11,426.86
A000023,2023-12,287.8
A000023,2024-01,159.45
A000023,2024-02,164.85
A000023,2024-04,17.53
A000023,2024-06,-210.28
A000023,2024-07,-301.16
A000023,2024-08,-492.61
A000023,2024-09,-526.94
A000023,2024-11,1055.4
A000023,2024-12,938.07
A000023,2025-01,2438.12
A000023,2025-02,3724.29
A000023,2025-03,3816.92
A000023,2025-04,3791.15
A000023,2025-05,3966.52
A000023,2025-06,3913.5
A000023,2025-07,6974.68
A000023,2025-08,6670.1
A000023,2025-09,8744.8
A000024,2025-03,-62.2
A000024,2025-04,-550.79
A000024,2025-05,-1355.4
A000024,2025-06,-114.45
A000024,2025-07,-610.2
A000024,2025-08,988.33
A000024,2025-09,230.47
A000024,2025-10,84.02
A000025,2023-04,13.08
A000025,2023-05,2025.51
A000025,2023-06,1872.24
A000025,2023-08,3229.46
A000025,2023-09,3217.33
A000025,2023-10,5580.18
A000025,2023-11,5508.43
A000025,2023-12,4988.28
A000025,2024-02,4849.74
A000025,2024-03,7168.23
A000025,2024-05,7138.55
A000025,2024-06,6989.9
A000025,2024-07,6791.68
A000025,2024-08,6576.02
A000025,2024-09,8668.98
A000025,2024-10,8483.49
A000025,2024-11,10194.38
A000025,2024-12,10010.19
A000025,2025-01,9737.55
A000025,2025-02,9660.52
A000025,2025-03,9474.16
A000025,2025-04,8962.33
A000025,2025-05,8921.85
A000025,2025-06,8688.93
A000025,2025-07,10020.21
A000025,2025-08,9947.38
A000025,2025-09,9641.04
A000025,2025-10,9598.01
A000026,2022-02,2254.65
A000026,2022-03,2081.76
A000026,2022-04,2018.07
A000026,2022-05,1265.72
A000026,2022-06,1124.2
A000026,2022-07,1046.87
A000026,2022-08,477.54
A000026,2022-09,322.38
A000026,2022-11,94.07
A000026,2022-12,1858.41
A000026,2023-01,1848.41
A000026,2023-02,3003.31
A000026,2023-03,2937.24
A000026,2023-04,4991.34
A000026,2023-05,4859.13
A000026,2023-06,7473.05
A000026,2023-07,7385.43
A000026,2023-08,7029.54
A000026,2023-09,6950.52
A000026,2023-10,6883.61
A000026,2023-11,6720.54
A000026,2024-03,6448.44
A000026,2024-05,6333.02
A000026,2024-06,6209.21
A000026,2024-07,6131.6
A000026,2024-08,5740.17
A000026,2024-09,5508.94
A000026,2024-11,5555.0
A000026,2024-12,5455.88
A000026,2025-01,4995.52
A000026,2025-02,4918.92
A000026,2025-03,4875.31
A000026,2025-05,4829.95
A000026,2025-06,4874.97
A000026,2025-07,4410.42
A000026,2025-09,4412.25
A000027,2023-03,-111.76
A000027,2023-05,-408.69
A000027,2024-01,-449.4
A000027,2024-06,-469.52
A000027,2025-09,-615.03
A000028,2024-01,-868.77
A000028,2024-02,-983.93
A000028,2024-03,-1074.97
A000028,2024-04,2005.43
A000028,2024-05,1596.66
A000028,2024-06,3272.51
A000028,2024-07,3031.7
A000028,2024-08,2731.77
A000028,2024-09,5451.67
A000028,2024-10,4573.04
A000028,2024-11,9654.71
A000028,2024-12,9444.45
A000028,2025-01,10798.09
A000028,2025-02,11212.17
A000028,2025-03,10850.41
A000028,2025-04,12965.5
A000028,2025-05,12876.54
