transaction_id,account_id,txn_date,category,channel,amount
T0000001,A000001,2025-02-18,ATM,Mobile,-44.06
T0000002,A000001,2025-02-15,Online,ATM,-47.39
T0000003,A000001,2025-07-25,Fee,Mobile,-5.0
T0000004,A000001,2025-06-19,Salary,Web,1706.12
T0000005,A000001,2025-02-20,POS,Mobile,-86.46
T0000006,A000001,2025-02-24,POS,Mobile,-41.94
T0000007,A000001,2025-08-17,Online,Branch,-31.85
T0000008,A000001,2025-02-11,ATM,Mobile,-128.33
T0000009,A000001,2025-04-23,ATM,Mobile,-41.54
T0000010,A000001,2025-04-20,Bill,Branch,-12.58
T0000011,A000001,2025-05-13,Refund,Mobile,44.24
T0000012,A000001,2025-05-13,ATM,Mobile,-56.45
T0000013,A000001,2025-03-08,Refund,Branch,34.63
T0000014,A000001,2025-02-18,POS,Mobile,-56.99
T0000015,A000001,2025-08-21,Bill,Branch,-53.21
T0000016,A000001,2025-04-11,Bill,POS,-116.18
T0000017,A000001,2025-08-12,Online,Mobile,-45.02
T0000018,A000001,2025-05-23,Online,Mobile,-32.78
T0000019,A000001,2025-09-12,Online,Mobile,-44.51
T0000020,A000001,2025-02-17,Transfer,POS,-244.45
T0000021,A000001,2025-08-11,Salary,POS,1002.58
T0000022,A000001,2025-08-24,POS,Web,-37.97
T0000023,A000001,2025-07-02,POS,Web,-16.37
T0000024,A000001,2025-02-03,POS,Web,-106.81
T0000025,A000001,2025-04-29,Transfer,Mobile,72.74
T0000026,A000001,2025-07-10,POS,POS,-38.44
T0000027,A000001,2025-02-15,Salary,Mobile,1776.84
T0000028,A000001,2025-02-07,Online,POS,-37.37
T0000029,A000001,2025-03-17,POS,Web,-63.65
T0000030,A000001,2025-06-12,POS,POS,-100.4
T0000031,A000001,2025-09-26,Online,Mobile,-57.86
T0000032,A000001,2025-09-14,POS,Mobile,-37.08
T0000033,A000001,2025-06-24,Online,Web,-49.67
T0000034,A000001,2025-04-27,POS,POS,-75.78
T0000035,A000001,2025-05-17,Transfer,POS,-184.42
T0000036,A000001,2025-08-22,POS,POS,-68.23
T0000037,A000001,2025-06-13,ATM,Mobile,-27.57
T0000038,A000001,2025-05-15,POS,Mobile,8.54
T0000039,A000001,2025-07-25,Online,Web,-44.6
T0000040,A000001,2025-09-14,Online,POS,-31.69
T0000041,A000001,2025-02-10,POS,Web,-59.2
T0000042,A000001,2025-08-17,POS,Mobile,-35.77
T0000043,A000001,2025-03-29,Salary,Mobile,3034.11
T0000044,A000001,2025-03-02,Online,Mobile,2.44
T0000045,A000001,2025-02-02,Online,Web,-54.29
T0000046,A000001,2025-03-27,POS,Mobile,-20.42
T0000047,A000001,2025-04-11,POS,Mobile,-32.28
T0000048,A000001,2025-05-15,POS,Mobile,-90.81
T0000049,A000001,2025-07-15,Salary,Web,1748.27
T0000050,A000001,2025-04-05,Online,Mobile,-7.42
T0000051,A000001,2025-09-02,POS,Mobile,-68.37
T0000052,A000001,2025-06-19,Transfer,Mobile,-290.7
T0000053,A000001,2025-02-13,Bill,Branch,-123.44
T0000054,A000001,2025-08-06,POS,POS,-85.08
T0000055,A000001,2025-02-25,Salary,Mobile,2362.07
T0000056,A000001,2025-04-05,POS,POS,-11.6
T0000057,A000001,2025-08-04,POS,Mobile,-77.79
T0000058,A000001,2025-02-28,Online,Mobile,-64.23
T0000059,A000001,2025-07-24,POS,Mobile,-25.23
T0000060,A000001,2025-07-19,Transfer,Web,80.21
T0000061,A000001,2025-06-09,POS,Branch,-60.73
T0000062,A000001,2025-08-17,POS,Mobile,-5.32
T0000063,A000001,2025-04-13,POS,Mobile,-50.07
T0000064,A000001,2025-06-03,Bill,Mobile,-41.78
T0000065,A000001,2025-08-22,POS,Branch,-74.41
T0000066,A000001,2025-06-13,POS,Mobile,-67.77
T0000067,A000001,2025-06-08,Bill,POS,-128.94
T0000068,A000001,2025-10-03,Online,Web,-52.81
T0000069,A000001,2025-08-07,Online,POS,-64.69
T0000070,A000001,2025-09-26,Online,Mobile,-50.81
T0000071,A000001,2025-06-11,ATM,Web,-38.39
T0000072,A000001,2025-08-23,Salary,Mobile,2087.59
T0000073,A000001,2025-10-06,Interest,Web,1.53
T0000074,A000001,2025-03-13,ATM,Mobile,-40.98
T0000075,A000001,2025-03-12,Online,Mobile,-97.41
T0000076,A000001,2025-09-23,Online,POS,-75.17
T0000077,A000001,2025-03-22,Online,Mobile,-74.29
T0000078,A000001,2025-09-13,Transfer,POS,-286.8
T0000079,A000001,2025-03-19,Online,POS,-21.88
T0000080,A000002,2025-08-22,Online,Mobile,-54.88
T0000081,A000002,2025-04-22,Online,Mobile,5.25
T0000082,A000002,2025-01-31,Online,Mobile,-10.91
T0000083,A000002,2025-06-17,Transfer,POS,-428.13
T0000084,A000002,2025-05-20,Interest,Web,1.96
T0000085,A000002,2025-04-05,POS,Web,-18.15
T0000086,A000002,2025-02-14,POS,ATM,-63.85
T0000087,A000003,2025-05-08,Salary,Mobile,1853.68
T0000088,A000003,2025-03-13,POS,Mobile,-27.65
T0000089,A000003,2025-08-19,Online,Mobile,-29.27
T0000090,A000003,2025-03-30,POS,Mobile,-40.3
T0000091,A000003,2025-03-19,Online,Mobile,-57.57
T0000092,A000003,2025-06-11,Online,POS,-7.37
T0000093,A000003,2025-08-22,Online,ATM,-33.13
T0000094,A000003,2025-05-04,Transfer,Mobile,-192.88
T0000095,A000003,2025-06-23,ATM,Mobile,-88.47
T0000096,A000003,2025-07-25,Interest,Mobile,2.96
T0000097,A000003,2025-04-09,POS,Mobile,-50.65
T0000098,A000003,2025-06-02,ATM,Mobile,8.69
T0000099,A000003,2025-07-27,POS,Mobile,3.28
T0000100,A000003,2025-08-19,POS,POS,-42.67
T0000101,A000003,2025-04-10,POS,Mobile,-103.93
T0000102,A000003,2025-05-22,POS,Web,-71.51
T0000103,A000003,2025-09-08,ATM,Mobile,-50.78
T0000104,A000003,2025-05-14,ATM,Mobile,-42.02
T0000105,A000003,2025-07-08,POS,Mobile,-54.9
T0000106,A000003,2025-02-22,Transfer,Mobile,-408.69
T0000107,A000003,2025-04-17,Online,Mobile,-58.94
T0000108,A000003,2025-04-25,POS,Mobile,-50.52
T0000109,A000003,2025-09-17,POS,POS,-99.66
T0000110,A000003,2025-07-05,Salary,Branch,2033.38
T0000111,A000003,2025-06-05,Bill,POS,-119.77
T0000112,A000003,2025-03-09,POS,POS,18.63
T0000113,A000003,2025-07-18,Bill,POS,-91.41
T0000114,A000003,2025-09-26,Transfer,Mobile,-165.67
T0000115,A000003,2025-02-24,POS,Mobile,-2.73
T0000116,A000003,2025-09-07,ATM,POS,-87.09
T0000117,A000003,2025-09-15,Transfer,POS,112.45
T0000118,A000003,2025-08-08,Bill,Mobile,-141.77
T0000119,A000003,2025-07-29,POS,POS,0.7
T0000120,A000003,2025-07-17,POS,POS,-50.28
T0000121,A000003,2025-07-29,Online,Web,-39.1
T0000122,A000003,2025-08-23,ATM,Mobile,-20.72
T0000123,A000003,2025-07-03,POS,Mobile,-73.96
T0000124,A000003,2025-09-07,POS,Mobile,-63.52
T0000125,A000003,2025-02-27,Transfer,Mobile,-218.6
T0000126,A000003,2025-09-01,POS,Web,-49.85
T0000127,A000003,2025-06-22,Online,POS,-44.63
T0000128,A000003,2025-07-07,POS,Web,-35.43
T0000129,A000003,2025-10-01,Salary,POS,1899.55
T0000130,A000003,2025-02-15,ATM,Mobile,-95.19
T0000131,A000003,2025-03-20,Online,Mobile,-88.78
