txn_id,timestamp,merchant_id,acquirer_id,amount,is_refund,is_chargeback
T1,2025-09-26T09:40:21.316172,M001,A3,11.29,0,0
T2,2025-09-25T21:15:29.316172,M001,A1,17.54,0,0
T3,2025-09-26T05:22:13.316172,M001,A3,32.72,0,0
T4,2025-09-26T04:49:40.316172,M001,A2,46.73,0,0
T5,2025-09-25T20:46:37.316172,M001,A2,39.9,0,0
T6,2025-09-25T21:04:00.316172,M002,A5,30.21,0,0
T7,2025-09-26T04:27:07.316172,M002,A4,18.85,0,0
T8,2025-09-25T18:01:33.316172,M002,A1,39.17,0,0
T9,2025-09-25T21:44:08.316172,M002,A1,101.35,0,0
T10,2025-09-25T15:10:17.316172,M002,A4,23.72,0,0
T11,2025-09-26T02:34:20.316172,M002,A3,4.77,0,0
T12,2025-09-26T11:41:48.316172,M002,A3,85.17,0,0
T13,2025-09-26T00:12:53.316172,M002,A5,10.19,0,0
T14,2025-09-26T00:20:40.316172,M002,A5,35.48,0,0
T15,2025-09-26T05:07:05.316172,M003,A1,45.12,0,0
T16,2025-09-26T06:46:39.316172,M003,A1,13.27,0,0
T17,2025-09-26T07:33:48.316172,M003,A3,25.43,0,0
T18,2025-09-26T14:38:28.316172,M003,A2,17.73,0,0
T19,2025-09-26T02:40:11.316172,M003,A5,24.37,0,0
T20,2025-09-26T13:40:53.316172,M003,A5,4.66,0,0
T21,2025-09-26T07:24:58.316172,M003,A4,15.52,0,0
T22,2025-09-25T19:13:22.316172,M003,A1,10.38,0,0
T23,2025-09-26T06:48:23.316172,M003,A1,28.33,0,0
T24,2025-09-26T11:07:55.316172,M003,A5,16.5,0,0
T25,2025-09-25T19:26:47.316172,M003,A4,86.29,0,0
T26,2025-09-25T17:58:22.316172,M004,A5,22.68,0,0
T27,2025-09-26T14:22:57.316172,M004,A1,5.99,0,0
T28,2025-09-25T17:34:18.316172,M004,A4,17.87,0,0
T29,2025-09-25T20:15:58.316172,M004,A4,57.98,0,0
T30,2025-09-25T21:44:42.316172,M004,A5,18.76,0,0
T31,2025-09-25T15:23:06.316172,M004,A1,12.61,0,0
T32,2025-09-25T19:11:40.316172,M004,A3,22.91,0,0
T33,2025-09-25T17:05:44.316172,M004,A5,19.32,0,0
T34,2025-09-26T05:49:22.316172,M005,A1,25.76,0,0
T35,2025-09-26T12:16:52.316172,M005,A4,12.55,0,0
T36,2025-09-26T06:05:22.316172,M005,A2,16.74,0,0
T37,2025-09-26T14:27:52.316172,M005,A3,23.62,0,0
T38,2025-09-25T22:32:16.316172,M005,A1,18.74,0,0
T39,2025-09-25T17:13:37.316172,M005,A1,18.27,0,0
T40,2025-09-25T19:05:46.316172,M005,A4,14.08,0,0
T41,2025-09-25T17:49:00.316172,M006,A2,11.24,0,0
T42,2025-09-25T17:03:22.316172,M006,A5,45.27,0,0
T43,2025-09-26T13:19:15.316172,M006,A1,18.13,0,0
T44,2025-09-26T10:46:46.316172,M006,A4,23.03,0,0
T45,2025-09-26T00:13:14.316172,M006,A3,19.85,0,0
T46,2025-09-25T16:18:17.316172,M006,A4,8.73,0,0
T47,2025-09-26T07:32:05.316172,M006,A2,2.32,0,0
T48,2025-09-25T16:23:51.316172,M007,A1,22.46,0,0
T49,2025-09-26T07:25:32.316172,M007,A4,34.86,0,0
